source,text,rating,date,url
"spotify-community","Superuser Contribution_ How can I watch podcasts on Spotify? Not listen.. One day I accidentally touched my screen and the video version of the podcast I was listening to popped up. I have never been able to access video again. How do I WATCH podcasts v. Listen to them on Spotify? Visitor One day I accidentally touched my screen and the video version of the podcast I was listening to popped up. I have never been able to access video again. How do I WATCH podcasts v. Listen to them o... 2025-02-13 3:14:04 PM 2 weeks ago Spencerblalock Casual Listener * *","","","https://community.spotify.com/t5/Content-Questions/How-can-I-watch-podcasts-on-Spotify-Not-listen/td-p/6711195"
"spotify-community","Solved!!_ _Superuser Contribution_ My Spotify playlist covers/thumbnails are not showing up. America Device Dell laptop Operating System Chrome OS I'm aware of the album covers not showing up on Spotify, but this is different. For me, album covers do show up and are normal. Images that I've set as the thumbnails for playlist... Regular Country America Device Dell laptop Operating System Chrome OS I'm aware of the album covers not showing up on Spotify, but this is different. For me, album covers... 2025-05-06 1:28:32 PM 2 weeks ago preciousbumblebee Newbie Album Cover Cover Art Playlist Cover thumbnail * *","","","https://community.spotify.com/t5/Content-Questions/My-Spotify-playlist-covers-thumbnails-are-not-showing-up/td-p/6949298"
"spotify-community","Superuser Contribution_ tracks not available. PlanPremiumCountryCzech Republic DeviceiPhone 13 miniOperating SystemiOS 17.5.1 My Question or IssueHello, I recently got interested in Cpop but I was quite disappointed by not being able to access many of the songs on Spotify.When I google the song ... Newbie Country Czech Republic Device iPhone 13 mini Operating System iOS 17.5.1 My Question or Issue Hello, I recently got interested in Cpop but I was quite disappointed... 2024-08-26 11:21:48 PM 2 weeks ago Kalamatianos Visitor * *","","","https://community.spotify.com/t5/Content-Questions/tracks-not-available/td-p/6292875"
"spotify-community","Superuser Contribution_ Weekly Minutes. i can't see my weekly minutes and my friends yes can do. Please update the app (IOS) Newbie i can't see my weekly minutes and my friends yes can do. Please update the app (IOS) 2 weeks ago 2 weeks ago Vasil Moderator * *","","","https://community.spotify.com/t5/Content-Questions/Weekly-Minutes/td-p/7460736"
"spotify-community","Superuser Contribution_ Party of the years not working. PlanDuo premiumCountryUKDeviceIPhone 13 and iPad Air 4Operating SystemIos 26.5 My Question or IssueParty of the years feature doesn’t work on my account. I’ve tried on an iPhone 13 and iPad Air 4. it just pops up with a screen saying”Your part got ou... Newbie premium Country UK Device IPhone 13 and iPad Air 4 Operating System Ios 26.5 My Question or Issue Party of the years feature doesn’t work on my account. I’ve tried on an iPh... 2026-05-16 10:12:31 AM 2 weeks ago LuigisAdog Visitor * *","","","https://community.spotify.com/t5/Content-Questions/Party-of-the-years-not-working/td-p/7439606"
"spotify-community","Superuser Contribution_ Daylist seems to be repeating itself. My daylist has had the words ‘surprised songwriter’ in the name every day for a week. Except on the odd day when it says ‘Australian singer’ something or other - but I’m not listening to Australians, I’m listening to G-Flip and other lesbian music. ‘... Newbie My daylist has had the words ‘surprised songwriter’ in the name every day for a week. Except on the odd day when it says ‘Australian singer’ something or other - but I’m not listening to Australians,... 2025-08-13 8:32:21 AM 2 weeks ago Beeyankers Newbie * *","","","https://community.spotify.com/t5/Content-Questions/Daylist-seems-to-be-repeating-itself/td-p/7088389"
"spotify-community","Superuser Contribution_ Show all credits does not show the musicians (entered in TuneCore). "") PlanFreeCountryUSDevicePC W11(iPhone 8, Samsung Galaxy 9, Macbook Pro late 2016)Operating System(iOS 10, Android Oreo, Windows 10,etc.) My Question or Issue Visitor Country US Device PC W11 (iPhone 8, Samsung Galaxy 9, Macbook Pro late 2016) Operating System (iOS 10, Android Oreo, Windows 10,etc.) My Question or Issue 2025-10-15 4:45:05 AM 2 weeks ago laurenelli22 Visitor * *","","","https://community.spotify.com/t5/Content-Questions/Show-all-credits-does-not-show-the-musicians-entered-in-TuneCore/td-p/7174898"
"spotify-community","Superuser Contribution_ Random songs are put in my queue. Spotify has been putting random songs in my queue. I will look one moment in the first photo and it looks normal. Then later I will look back and there are songs I never queued my self that just appeared as seen in the second photo after the Luke B... Newbie Spotify has been putting random songs in my queue. I will look one moment in the first photo and it looks normal. Then later I will look back and there are songs I never queued my self ... 2 weeks ago 2 weeks ago Vasil Moderator Help randoms songs shuffle * *","","","https://community.spotify.com/t5/Content-Questions/Random-songs-are-put-in-my-queue/td-p/7458348"
"spotify-community","Superuser Contribution_ Music Videos don't show. (Duo) Country United Kingdom Device Samsung Galaxy A33 Operating System Android 14 My Question or Issue My family member had Spotify Premium and we were really impressed by the Music Video feature, playing on our TV. So we upgraded to Du... Regular (Duo) Country United Kingdom Device Samsung Galaxy A33 Operating System Android 14 My Question or Issue My family member had Spotify Premium and we were really... 2025-02-22 3:57:29 PM 2 weeks ago DinisMelo2011 Visitor Duo Music Videos * *","","","https://community.spotify.com/t5/Content-Questions/Music-Videos-don-t-show/td-p/6747009"
"spotify-community","Reporting Stolen Music by a ""creator"" on spotify.. I found a artist that is possibly selling/sharing content from other creators. This creator is named Jimmy Castle on spotify and a few other platforms. The song Life is Good on their Broken Heart Album, is originally Timepieces from Nils Bergholz (ht... Regular I found a artist that is possibly selling/sharing content from other creators. This creator is named Jimmy Castle on spotify and a few other platforms. The song Life is Good on their Broken Heart A... 2020-12-17 10:04:44 PM 2 weeks ago Trumanlikesmusic Casual Listener Other * *","","","https://community.spotify.com/t5/Content-Questions/Reporting-Stolen-Music-by-a-quot-creator-quot-on-spotify/td-p/5094939"
